title,rt_audience_score,rt_freshness,rt_score,genres,Genre_1,Genre_2,Genre_3,imdb_rating,length,rank_in_year,rating,release_date,studio,worldwide_gross,year
Captain America: The Winter Soldier,4.3,89,7.5,"Sci-Fi
Adventure
Action",Sci-Fi,Adventure,Action,7.8,136,7,PG-13,4-Apr-14,Marvel Studios,"$714,766,572.00 ",2014
Dawn of the Planet of the Apes,4.2,90,7.9,"Sci-Fi
Drama
Action",Sci-Fi,Drama,Action,7.7,130,9,PG-13,11-Jul-14,20th Century Fox,"$708,835,589.00 ",2014
Guardians of the Galaxy,4.4,91,7.7,"Sci-Fi
Adventure
Action",Sci-Fi,Adventure,Action,8.1,121,3,PG-13,1-Aug-14,Marvel Studios,"$774,176,600.00 ",2014
Interstellar,4.2,72,7,"Sci-Fi
Adventure",Sci-Fi,Adventure,,8.7,169,10,PG-13,7-Nov-14,Paramount Pictures / Warner Bros.,"$672,974,414.00 ",2014
Maleficent,3.8,49,5.7,"Family
Adventure
Action",Family,Adventure,Action,7.1,97,4,PG,30-May-14,Walt Disney Pictures,"$758,654,942.00 ",2014
The Amazing Spider-Man 2,3.7,53,5.9,"Fantasy
Adventure
Action",Fantasy,Adventure,Action,6.9,142,8,PG-13,2-May-14,Columbia Pictures,"$709,582,323.00 ",2014
The Hobbit: The Battle of the Five Armies,3.9,61,6.3,"Fantasy
Adventure",Fantasy,Adventure,,7.5,144,2,PG-13,17-Dec-14,Warner Bros. / New Line Cinema / MGM,"$955,113,783.00 ",2014
The Hunger Games: Mockingjay - Part 1,3.8,65,6.3,"Sci-Fi
Adventure",Sci-Fi,Adventure,,6.8,123,5,PG-13,21-Nov-14,Lionsgate Films,"$752,100,229.00 ",2014
Transformers: Age of Extinction,3.3,18,3.9,"Sci-Fi
Adventure
Action",Sci-Fi,Adventure,Action,5.8,165,1,PG-13,27-Jun-14,Paramount Pictures,"$1,091,404,499.00 ",2014
X-Men: Days of Future Past,4.3,91,7.6,"Sci-Fi
Adventure
Action",Sci-Fi,Adventure,Action,8.1,131,6,PG-13,23-May-14,20th Century Fox,"$748,121,534.00 ",2014
Despicable Me 2,4.2,74,6.6,"Family
Comedy
Animation",Family,Comedy,Animation,7.5,98,3,PG,3-Jul-13,Universal / Illumination,"$970,761,885.00 ",2013
Fast & Furious 6,4.2,69,6.2,"Thriller
Crime
Action",Thriller,Crime,Action,7.2,130,6,PG-13,24-May-13,Universal,"$788,679,850.00 ",2013
Frozen,4.3,89,7.7,"Comedy
Animation
Adventure",Comedy,Animation,Adventure,7.7,102,1,PG,27-Nov-13,Walt Disney Pictures,"$1,274,219,009.00 ",2013
Gravity,4,97,9,"Thriller
Sci-Fi
Western",Thriller,Sci-Fi,Western,7.9,91,8,PG-13,4-Oct-13,Warner Bros.,"$716,392,705.00 ",2013
Iron Man 3,4,79,7,"Sci-Fi
Adventure
Action",Sci-Fi,Adventure,Action,7.3,130,2,PG-13,3-May-13,Marvel Studios,"$1,215,439,994.00 ",2013
Man of Steel,3.9,56,6.2,"Fantasy
Adventure
Action",Fantasy,Adventure,Action,7.2,143,9,PG-13,14-Jun-13,Warner Bros. / Legendary,"$668,045,518.00 ",2013
Monsters University,4,78,6.8,"Comedy
Animation
Adventure",Comedy,Animation,Adventure,7.4,104,7,G,21-Jun-13,Walt Disney Pictures / Pixar,"$743,559,607.00 ",2013
The Hobbit: The Desolation of Smaug,4.1,74,6.8,"Fantasy
Adventure",Fantasy,Adventure,,8,161,4,PG-13,13-Dec-13,Warner Bros. / New Line / MGM,"$960,366,855.00 ",2013
The Hunger Games: Catching Fire,4.3,89,7.5,"Adventure
Sci-Fi",Adventure,Sci-Fi,,7.7,146,5,PG-13,22-Nov-13,Lionsgate,"$864,912,963.00 ",2013
